Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Dawid Pakoca,317466602,17.043,T,128,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,3,5,5,-1,-1.0,-1.0,3.0,-1.0,4.0,-1.0,25.05.2023 boczny_obronca (90'),Polska,30.05.2023
Grzegorz Herko,322882327,17.060,,100,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,25.05.2023 pomocnik (90'),Polska,30.05.2023
Volodymyr Zotov,325740910,17.032,Q,86,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,04.05.2023 napastnik (59'),Polska,30.05.2023
Alan Kanak,326586143,16.058,,44,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,2.5,-1,-1,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,24.05.2023 pomocnik (90'),Polska,30.05.2023
Albert Trela,315187261,18.060,T,244,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,4.5,3.5,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,24.05.2023 skrzydlowy (90'),Polska,30.05.2023
Bartlomiej Oleszkiewicz,323684389,16.083,H,114,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,24.05.2023 skrzydlowy (90'),Polska,30.05.2023
Bjorn Bierl,320490238,16.083,,181,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,4,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,10.05.2023 stoper (90'),Polska,30.05.2023
Jakub Pukalski,314961702,17.084,,197,WC 37,,Final,,,,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,24.05.2023 boczny_obronca (90'),Polska,30.05.2023
J. Chelkowski,476679151,18.045,,-1,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-----,Polska,30.05.2023
Jerzy Krefft,325066719,16.018,,65,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,24.05.2023 pomocnik (90'),Polska,30.05.2023
Marek Szczurek,314779454,18.001,,202,WC 36,35,World Cup - Round IV  Matchday 1,16/08/2024,88,12,-1,-1,-1,3.5,-1,5,-1.0,-1.0,-1.0,3.0,-1.0,5.0,10.05.2023 napastnik (90'),Polska,30.05.2023
Mariusz Ksiazkiewicz,322241680,17.001,,89,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,24.05.2023 napastnik (90'),Polska,30.05.2023
Piotrek Mikolajewski,320971925,16.100,T,131,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,3.5,-1,-1,4.5,5,-1.0,3.5,-1.0,-1.0,-1.0,4.5,24.05.2023 stoper (90'),Polska,30.05.2023
Radoslaw Spyra,324683102,17.024,,72,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,24.05.2023 napastnik (90'),Polska,30.05.2023
