
"Ryszard Horak,314367642,18.020,T,257,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,05.05.2023 pomocnik (90'),Polska,05.05.2023"
"Tomasz Barwinek,307952651,19.064,,340,WC 36,,Final,,,,4,-1,-1,-1,-1,-1,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.12.2022 bramkarz (90'),Polska,05.05.2023"
"Witold Frankiewicz,313156770,18.078,,265,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,-1,-1,-1,-1,-1,3,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,05.05.2023 napastnik (90'),Polska,05.05.2023"
"Wlodzimierz Zembrzycki,307438581,20.010,R,381,WC 36,,Final,,,,-1,2.5,-1,3,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,30.12.2022 napastnik (90'),Polska,05.05.2023"
"Benedykt Dyga,311160299,18.077,U,214,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,08.02.2023 napastnik (90'),Polska,05.05.2023"
"Emil Thomas,319319545,17.019,,134,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,08.02.2023 stoper (90'),Polska,05.05.2023"
"Franciszek Korfanty,300781413,19.079,,471,WC 36,,Final,,,,2,5,-1,3.5,-1,-1,2.0,5.0,-1.0,-1.0,-1.0,-1.0,08.02.2023 bramkarz (90'),Polska,05.05.2023"
"Henryk Skrzek,301251294,20.024,,481,WC 36,,Final,,,,0.5,-1,-1,-1,-1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,14.12.2022 bramkarz (90'),Polska,05.05.2023"
"Jedrzej Kata,301251288,20.055,,481,WC 36,,Final,,,,-1,-1,-1,3,3,4.5,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,27.07.2022 pomocnik (90'),Polska,05.05.2023"
"Marceli Walenista,301251290,19.048,,481,WC 36,2,Friendly,16/02/2024,87,2,0.5,1.5,-1,3,4.5,3.5,0.5,-1.0,-1.0,3.0,-1.0,-1.0,08.02.2023 pomocnik (90'),Polska,05.05.2023"
"Mieczyslaw Merta,301251291,19.052,U,481,WC 36,1,Friendly,09/02/2024,87,1,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,08.02.2023 napastnik (90'),Polska,05.05.2023"
"Przemyslaw Belski,301251284,20.097,,481,WC 36,,Final,,,,-1,3.5,3.5,-1,3.5,-1,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,10.08.2022 stoper (90'),Polska,05.05.2023"
"Przemyslaw Pietrzyk,301251282,20.075,T,481,WC 36,,Final,,,,-1,4.5,4,-1,-1,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,26.10.2022 stoper (90'),Polska,05.05.2023"
"Rafal Zawadka,301251283,19.106,,481,WC 36,,Final,,,,-1,2.5,3,-1,4,-1,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,18.01.2023 skrzydlowy (90'),Polska,05.05.2023"
"Stefan Hes,301251286,19.060,,481,WC 36,,Final,,,,-1,1.5,-1,4.5,5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,08.02.2023 skrzydlowy (90'),Polska,05.05.2023"
"Tomasz Kopczynski,301251287,19.105,U,481,WC 36,,Final,,,,-1,-1,-1,3.5,3.5,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,18.01.2023 pomocnik (90'),Polska,05.05.2023"
"Waldemar Pasko,316100187,17.052,P,198,WC 37,1,Friendly,20/09/2024,89,1,-1,4,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,08.02.2023 stoper (90'),Polska,05.05.2023"
