"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Marcin Proniewski,328317257,16.024,Q,64,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,1.5,3,3,3.5,4,-1,1.5,3.0,3.0,3.5,4.0,-1.0,09.06.2023 stoper (90'),Polska,15.06.2023"
"Krzysztof Mysliwiec,319219584,17.003,,-1,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,4,5.5,5.5,7,6.5,-1.0,-1.0,5.5,5.5,7.0,6.5,-----,Polska,15.06.2023"
"Bartlomiej Zabrocki,320522315,17.017,H,143,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,3.5,-1,4.5,-1,-1.0,-1.0,3.5,-1.0,4.5,-1.0,14.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Cezary Gnat,318831834,18.052,T,214,WC 36,28,World Cup - Round II  Matchday 3,12/07/2024,88,7,2,4.5,5.5,4,-1,6.5,2.0,4.0,5.5,-1.0,-1.0,5.5,26.05.2023 bramkarz (90'),Polska,15.06.2023"
"Cyryl Jazdzyk,322457465,17.052,U,154,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,3.5,4.5,-1,4.5,5.5,-1.0,-1.0,4.0,-1.0,4.5,5.5,14.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Grzegorz Brycki,325734375,16.064,Q,67,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1,-1,3,2.5,3,3.5,1.0,-1.0,2.5,2.5,3.0,3.5,14.06.2023 pomocnik (90'),Polska,15.06.2023"
"Grzegorz Szymanowicz,314314089,18.098,H,263,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,-1,-1,3.5,4,4.5,5.5,-1.0,-1.0,3.5,3.0,4.5,5.5,14.06.2023 pomocnik (90'),Polska,15.06.2023"
"Jacek Szostakiewicz,322131084,16.098,,130,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,3,-1,7.5,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,11.04.2023 napastnik (10'),Polska,15.06.2023"
"L. Arshavin,476574690,19.039,U,-2,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,-1,2.5,4,5,6,7,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-----,Polska,01.06.2023"
"Marcin Janczy,319634032,17.014,,-1,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,4,4.5,5.5,5,6.5,-1.0,-1.0,-1.0,5.5,5.0,6.5,-----,Polska,15.06.2023"
"Mieczyslaw Frysz,323911001,16.042,,87,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,5,-1,5.5,4.5,-1.0,-1.0,5.0,-1.0,5.5,4.5,14.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Pawel Grygoruk,320133997,16.110,,179,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,1.5,3,4,5,-1,7,1.5,-1.0,-1.0,-1.0,-1.0,7.0,26.05.2023 napastnik (90'),Polska,15.06.2023"
"Przemyslaw Echaust,324520072,16.034,,92,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,5,5,3.5,-1,3,-1.0,5.0,5.0,3.5,-1.0,-1.0,26.05.2023 stoper (90'),Polska,15.06.2023"
"S. Foszcz,476759361,17.014,T,-2,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,5,-1,6.5,-1.0,-1.0,-1.0,5.0,-1.0,6.5,-----,Polska,01.06.2023"
"Sobieslaw Rozkosz,326844845,16.040,,79,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,5,4,-1,-1.0,-1.0,-1.0,5.0,4.0,-1.0,26.05.2023 pomocnik (90'),Polska,15.06.2023"
"Walter Dlugaszek,325750899,16.064,,100,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,3,-1,-1,-1,-1,-1,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.06.2023 bramkarz (90'),Polska,15.06.2023"
"Z. Jelonkiewicz,476454018,17.038,Q,-2,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,3.5,6.5,4.5,6,-1.0,-1.0,3.5,6.5,-1.0,-1.0,-----,Polska,15.05.2023"
"T. Mendel,476437755,17.044,U,-2,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,5.5,6.5,-1,-1.0,-1.0,-1.0,-1.0,6.5,-1.0,-----,Polska,15.05.2023"
"Henryk Supel,323528621,16.111,,130,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,6,7,-1.0,-1.0,-1.0,-1.0,6.0,7.0,14.06.2023 napastnik (90'),Polska,15.06.2023"
"Tomasz Reclaw,326339197,16.045,,95,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,14.06.2023 napastnik (90'),Polska,15.06.2023"
"Norbert Majsner,326945598,15.102,,67,WC 38,,Final,,,,-1,-1,-1,5,5,-1,-1.0,-1.0,-1.0,5.0,5.0,-1.0,14.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Krzysztof Rejowski,307794225,19.001,Q,365,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,2.5,-1,2,3,5,-1.0,2.5,-1.0,2.0,-1.0,-1.0,07.06.2023 pomocnik (90'),Polska,15.06.2023"
"Tomasz Nicia,306490782,19.021,,430,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,2,4.5,4,4,4,4.5,-1.0,-1.0,4.0,4.0,4.0,-1.0,24.05.2023 pomocnik (90'),Polska,15.06.2023"
"Benedykt Stosik,279094380,24.083,,874,WC 36,,Final,,,,-1,-1,4,4,5,5.5,-1.0,-1.0,-1.0,4.0,5.0,5.5,06.09.2021 pomocnik (90'),Polska,15.06.2023"
"Damian Kordowski,311474286,20.010,P,351,WC 36,,Final,,,,2,6,6,6,7,4.5,-1.0,-1.0,6.0,-1.0,-1.0,4.5,12.02.2023 boczny_obronca (90'),Polska,15.06.2023"
"Hubert Woznikowski,316818869,18.012,,234,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,4.5,2,-1,1,-1,-1,4.5,-1.0,-1.0,1.0,-1.0,-1.0,14.06.2023 pomocnik (90'),Polska,15.06.2023"
"Michal Klys,313650074,18.095,,235,WC 36,21,World Cup - Round I  Matchday 6,31/05/2024,88,1,1,2.5,2.5,-1,-1,4.5,1.0,-1.0,-1.0,-1.0,-1.0,4.5,14.06.2023 bramkarz (90'),Polska,15.06.2023"
"Nils Prewein,314342341,17.084,Q,143,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,3.5,3.5,-1,-1,-1.0,-1.0,3.5,3.5,-1.0,-1.0,14.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Remigiusz Ciszczon,324723606,16.058,,81,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,15.06.2023"
"Robert Kasprzycki,311896166,19.035,P,279,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,-1,-1,-1,5,-1,5.5,-1.0,-1.0,-1.0,5.0,-1.0,5.5,10.05.2023 napastnik (90'),Polska,15.06.2023"
"Rudolf Steplowski,318820108,17.086,,182,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,10.05.2023 pomocnik (90'),Polska,15.06.2023"
"J. Jesionek,476674991,17.023,P,-2,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,4,-1,5.5,5,7,-1.0,4.0,-1.0,5.5,-1.0,7.0,-----,Polska,01.06.2023"
"Ferdynand Dymkowski,319627376,17.009,U,-1,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,2.5,3.5,4,5.5,5,-1.0,-1.0,3.5,4.0,5.5,5.0,-----,Polska,15.06.2023"
"Zdzislaw Kajdas,323683764,17.011,H,102,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,5,5,5.5,5,5.5,-1.0,5.0,5.0,5.5,5.0,5.5,11.06.2023 pomocnik (90'),Polska,15.06.2023"
"Leon Rawa,327019527,16.049,,73,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,3.5,4.5,4,5.5,5,-1.0,3.5,4.5,4.0,5.5,5.0,11.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Janek Doroba,325863146,16.052,,94,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,4,4,4,4,6,-1.0,4.0,4.0,4.0,4.0,6.0,11.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Piotr Matukiewicz,323462458,16.035,Q,122,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,4,3.5,4,4.5,-1.0,3.5,4.0,-1.0,4.0,-1.0,04.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Krzysztof Podlesny,324098152,17.038,U,108,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,1.5,2.5,3.5,4,4.5,-1.0,1.5,2.5,3.5,4.0,4.5,11.06.2023 stoper (90'),Polska,15.06.2023"
"Ferdynand Siatkowski,314400015,18.039,,242,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,5,3,3,1.5,1.5,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.06.2023 bramkarz (32'),Polska,15.06.2023"
"Piotr Gawarecki,319504458,17.042,Q,206,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,3.5,4,4.5,5,4,-1.0,3.0,4.0,4.5,5.0,-1.0,11.06.2023 stoper (90'),Polska,15.06.2023"
"Gilbert Pyrek,320049531,17.043,,199,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,2.5,2.5,3,3.5,4.5,-1.0,2.5,2.5,3.0,3.5,4.5,11.06.2023 stoper (90'),Polska,15.06.2023"
"Seweryn Cwiertnia,321291294,17.010,P,143,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,4,3.5,3.5,3.5,4.5,-1.0,4.0,3.5,3.5,3.5,4.5,04.06.2023 stoper (90'),Polska,15.06.2023"
"Aleksander Proksza,320489187,17.028,,145,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,3,-1,4,5,5,-1.0,3.0,-1.0,4.0,-1.0,4.0,12.06.2023 stoper (90'),Polska,15.06.2023"
"Bogumil Madrak,320133609,16.108,,179,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,4.5,4.5,5,4.5,6,-1.0,4.5,4.5,5.0,-1.0,6.0,12.06.2023 napastnik (90'),Polska,15.06.2023"
"Borymyr Borzych,316727423,18.015,,249,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,4,2,2,1,2,0.5,4.0,-1.0,-1.0,1.0,-1.0,-1.0,26.05.2023 bramkarz (90'),Polska,15.06.2023"
"Grzegorz Biegajlo,320456008,16.097,T,185,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,4.5,4,5,4,-1.0,3.5,4.5,-1.0,-1.0,-1.0,02.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Janusz Szewczuk,313826781,18.015,,289,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,3.5,4,6,4.5,4.5,-1.0,3.5,-1.0,6.0,-1.0,-1.0,12.06.2023 stoper (90'),Polska,15.06.2023"
"Jozef Luber,323555759,17.011,,109,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,5,5,5,-1,-1.0,-1.0,5.0,5.0,5.0,-1.0,09.06.2023 pomocnik (90'),Polska,15.06.2023"
"Maciej Pleszka,322914679,16.092,,152,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,3.5,4,3.5,-1,6,-1.0,3.5,4.0,-1.0,-1.0,5.0,12.06.2023 napastnik (90'),Polska,15.06.2023"
"Maciej Wydmanski,323910755,16.100,,136,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,4.5,5,4,6,5.5,-1.0,4.5,5.0,-1.0,6.0,5.5,02.06.2023 napastnik (90'),Polska,15.06.2023"
"Marek Salewski,326708410,15.096,,88,WC 38,1,Friendly,02/05/2025,91,1,-1,-1,-1,4.5,5,4.5,-1.0,-1.0,-1.0,4.5,5.0,4.5,12.06.2023 napastnik (90'),Polska,15.06.2023"
"Piotr Prochowski,327117578,16.036,,64,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,3,4,-1,-1.0,-1.0,-1.0,3.0,4.0,-1.0,12.06.2023 pomocnik (90'),Polska,15.06.2023"
"R. Goinski,476379975,17.054,U,-2,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,5,6,4.5,-1.0,-1.0,-1.0,5.0,6.0,-1.0,-----,Polska,15.05.2023"
"Robert Gener,317227100,17.067,U,228,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,3,4.5,3,4.5,3.5,-1.0,-1.0,4.5,3.0,-1.0,3.5,26.05.2023 boczny_obronca (90'),Polska,15.06.2023"
"Stanislaw Liberda,325137774,16.068,H,94,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1.5,-1,-1,4.5,4.5,4,1.5,-1.0,-1.0,4.5,4.5,4.0,12.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Andrzej Szwajcowski,316406791,17.074,,193,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,4,-1,4.5,-1,-1,-1.0,4.0,-1.0,4.5,-1.0,-1.0,15.06.2023 pomocnik (90'),Polska,15.06.2023"
"Bogdan Taraszkiewicz,323245445,16.087,P,123,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,-1,-1,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,18.04.2023 napastnik (90'),Polska,15.06.2023"
"Boleslaw Bardzinski,321291552,17.082,,172,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,-1,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,15.06.2023 napastnik (90'),Polska,15.06.2023"
"D. Majchrowicz,476677829,17.021,H,-2,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,5,6,-1,5.5,-1,-1.0,5.0,6.0,-1.0,5.5,-1.0,-----,Polska,01.06.2023"
"Faustyn Kaleja,322217785,17.021,Q,144,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,4,-1,6,5,-1,-1.0,-1.0,-1.0,6.0,5.0,-1.0,15.06.2023 pomocnik (90'),Polska,15.06.2023"
"Filip Krzyzek,310293283,18.057,,298,WC 36,27,World Cup - Round II  Matchday 2,08/07/2024,88,7,2.5,-1,5,-1,5.5,6,-1.0,-1.0,5.0,-1.0,5.5,-1.0,15.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Innocenty Barciak,312653177,18.071,,256,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,2.5,-1,-1,5,-1,-1,2.0,-1.0,-1.0,4.0,-1.0,-1.0,15.06.2023 bramkarz (90'),Polska,15.06.2023"
"Janusz Skrzela,311878733,18.073,,263,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,-1,4,-1,-1,5.5,-1.0,-1.0,3.0,-1.0,-1.0,5.5,05.04.2023 napastnik (90'),Polska,15.06.2023"
"Julian Kuczewski,319855151,16.103,S,200,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,-1,5,3,7,-1.0,-1.0,-1.0,5.0,-1.0,7.0,15.06.2023 pomocnik (90'),Polska,15.06.2023"
"Kamil Krypciak,319226103,17.095,,151,WC 37,1,Friendly,20/09/2024,89,1,-1,5.5,6,-1,5.5,-1,-1.0,5.5,6.0,-1.0,5.5,-1.0,15.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Marek Szafruga,326975811,15.089,,67,WC 38,2,Friendly,09/05/2025,91,2,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,16.04.2023 boczny_obronca (90'),Polska,15.06.2023"
"Marian Orzeszyna,326248406,16.024,Q,95,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,25.04.2023 boczny_obronca (90'),Polska,15.06.2023"
"Waclaw Hadrian,307781743,18.099,,326,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,-1,-1,-1,-1,4.5,4,-1.0,-1.0,-1.0,-1.0,4.5,4.0,02.05.2023 skrzydlowy (90'),Polska,15.06.2023"
"Wladyslaw Weckowski,309655745,18.088,Q,270,WC 36,22,World Cup - Round I  Matchday 7,07/06/2024,88,2,-1,-1,4.5,-1,5,7.5,-1.0,-1.0,4.5,-1.0,5.0,7.5,15.06.2023 napastnik (90'),Polska,15.06.2023"
"Zdzislaw Wojciuch,311513036,18.098,,228,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,2,-1,-1,-1,5.5,-1,2.0,-1.0,-1.0,-1.0,5.5,-1.0,08.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Adam Danek,320670584,17.009,U,102,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,4,-1,4,5,4.5,-1.0,4.0,-1.0,4.0,5.0,4.5,18.05.2023 skrzydlowy (90'),Polska,15.06.2023"
"Andrzej Pyrkosz,324949343,16.067,Q,94,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,4.5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,13.06.2023 bramkarz (90'),Polska,15.06.2023"
"Andrzej Soja,321091200,17.027,H,165,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,3,4,4.5,4,5.5,-1.0,3.0,-1.0,4.5,-1.0,-1.0,11.06.2023 boczny_obronca (7'),Polska,15.06.2023"
"Bronislaw Majchrzak,327202547,15.111,P,67,WC 37,39,World Cup - Round V  Matchday 2,14/04/2025,90,15,-1,-1,-1,3.5,-1,4,-1.0,-1.0,-1.0,3.5,-1.0,4.0,13.06.2023 napastnik (90'),Polska,15.06.2023"
"Dariusz Bajorek,324300238,16.087,,123,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,6,4.5,6.5,-1.0,-1.0,-1.0,6.0,4.5,6.5,13.06.2023 napastnik (90'),Polska,15.06.2023"
"Ludwik Angielczyk,325254669,16.006,T,109,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,3.5,3.5,-1,5,-1.0,-1.0,3.5,3.5,-1.0,-1.0,27.04.2023 boczny_obronca (90'),Polska,15.06.2023"
"Lutomysl Piechna,322068639,16.065,P,116,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,3,-1,4.5,4,6,-1.0,3.0,-1.0,4.5,4.0,6.0,11.05.2023 pomocnik (90'),Polska,15.06.2023"
"Mariusz Kaluga,320629853,17.075,,178,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,5,5,4.5,5,5.5,-1.0,5.0,5.0,4.5,5.0,5.5,13.06.2023 napastnik (90'),Polska,15.06.2023"
"Onufry Parzyszek,322452237,16.063,T,150,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,1.5,3,4.5,5,6.5,-1.0,-1.0,3.0,4.5,5.0,6.5,04.06.2023 pomocnik (90'),Polska,15.06.2023"
"P. Sliwinski,476447964,17.106,,-2,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,-1,4.5,4.5,5.5,4.5,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,-----,Polska,15.05.2023"
"Stanislaw Wronowski,324214971,16.029,,74,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,-1,-1,4.5,4.5,7.5,-1.0,-1.0,-1.0,4.5,4.5,7.5,13.06.2023 pomocnik (90'),Polska,15.06.2023"
"Wladyslaw Maska,322882530,16.098,T,136,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,2.5,4,3,5.5,6.5,-1.0,2.5,4.0,-1.0,5.5,6.5,13.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Filip Lopusiewicz,325138757,16.028,,116,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,4.5,5,4.5,4.5,6,-1.0,4.5,5.0,4.5,-1.0,6.0,14.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"K. Banbura,476738410,17.017,,-2,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,6,4,5.5,5,-1.0,5.0,6.0,4.0,-1.0,-1.0,-----,Polska,01.06.2023"
"M. Trzewiczek,476568836,17.046,,-2,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5.5,4.5,3.5,4.5,5.5,-1.0,5.5,-1.0,-1.0,-1.0,5.5,-----,Polska,01.06.2023"
"G. Klos,476495660,17.034,,-2,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,2.5,3,5,6,7,-1.0,2.5,-1.0,5.0,6.0,7.0,-----,Polska,15.05.2023"
"Aleksander Polowniak,326987502,16.039,,74,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,5.5,-1,4,4.5,3.5,-1.0,5.5,-1.0,4.0,4.5,3.5,14.06.2023 pomocnik (90'),Polska,15.06.2023"
"Jaroslaw Staporski,323283657,16.048,T,137,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,2,4.5,-1,3.5,5,4.5,2.0,4.5,-1.0,3.5,5.0,4.5,14.06.2023 bramkarz (90'),Polska,15.06.2023"
"Jaroslaw Zoch,324595608,16.095,H,109,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,3.5,4.5,-1,5.5,7,-1.0,3.5,4.5,-1.0,5.5,7.0,14.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Jurek Bos,324743523,17.050,,67,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,4,4.5,-1,-1,-1,-1.0,4.0,4.5,-1.0,-1.0,-1.0,14.06.2023 stoper (90'),Polska,15.06.2023"
"Piotr Kiszczak,326167110,16.036,,95,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,3.5,3,4.5,6.5,-1.0,-1.0,3.5,3.0,4.5,6.5,14.06.2023 pomocnik (90'),Polska,15.06.2023"
"Sobieslaw Kryst,325270420,16.096,S,102,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,5,-1,-1,1,1.5,-1,5.0,-1.0,-1.0,1.0,1.5,-1.0,14.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Terencjusz Lewicki,324894547,16.100,,123,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,3.5,3.5,4,-1,-1.0,3.5,3.5,3.5,4.0,-1.0,14.06.2023 stoper (90'),Polska,15.06.2023"
"W. Idzik,476376706,17.082,,-2,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,3.5,4.5,4,6,-1.0,-1.0,3.5,4.5,-1.0,-1.0,-----,Polska,15.05.2023"
"Ariel Holeczek,318181382,17.028,,-1,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,4,-1,5.5,6.5,5,-1.0,4.0,-1.0,-1.0,6.5,5.0,-----,Polska,15.06.2023"
"Artur Oniszczuk,321345004,17.014,,165,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,3.5,-1,-1,1.5,2,-1,3.5,-1.0,-1.0,-1.0,2.0,-1.0,08.06.2023 skrzydlowy (90'),Polska,15.06.2023"
"Bartlomiej Leszek,322503950,17.040,,151,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,-1,4.5,-1,3,-1.0,3.0,-1.0,4.5,-1.0,-1.0,01.05.2023 pomocnik (90'),Polska,15.06.2023"
"Cyprian Myslinski,326533383,17.057,,85,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,15.06.2023"
