"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
"Lucjan Kubic,320514243,16.021,Q,113,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,1,3,-1,4.5,4,4.5,,05.04.2023 napastnik (90'),Polska"
"Michal Szajnowski,320514246,16.093,,94,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,4,6.5,,02.04.2023 napastnik (13'),Polska"
"Radoslaw Holisz,320514261,16.085,Q,64,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,3.5,-1,-1,1,1,-1,,15.02.2023 pomocnik (90'),Polska"
"Aleksander Dopieralski,320514270,17.045,,60,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Lukasz Struski,320514272,16.080,,73,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,0.5,1.5,-1,,01.02.2023 pomocnik (90'),Polska"
"Witold Podsiadlo,320514281,16.089,,108,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,2,-1,-1,-1,-1,-1,,19.01.2023 bramkarz (90'),Polska"
"Roman Celary,320514297,16.099,,20,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Edward Sleczkowski,320514300,16.082,,108,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4,5,-1,4.5,-1,,04.04.2023 boczny_obronca (90'),Polska"
"Waldemar Furtecki,320514312,16.024,,59,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,-1,-1,6.5,,01.04.2023 napastnik (90'),Polska"
"Jozef Kaniowski,320514314,16.052,P,84,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,4,4.5,4,6.5,,02.04.2023 napastnik (90'),Polska"
"Jan Maluga,320514316,17.104,,122,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,5.5,-1,2.5,-1,-1,-1,,03.04.2023 bramkarz (90'),Polska"
"Zygmunt Polczynski,320514318,16.033,,10,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,4,-1,-1,,05.04.2023 pomocnik (90'),Polska"
