"Mieczyslaw Kamyk,320411270,16.024,,135,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,2,-1,4.5,5,5,4,1.5,-1.0,4.5,5.0,-1.0,-1.0,07.04.2023 bramkarz (89') boczny_obronca (1'),Polska"
"Pawel Pakulski,324566127,15.081,,30,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,-1,5,4,4.5,4.5,-1.0,-1.0,5.0,4.0,4.5,4.5,07.04.2023 napastnik (90'),Polska"
"Piotr Boldys,313916366,18.043,,247,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,1,2,2.5,3.5,4.5,6,1.0,-1.0,-1.0,3.5,-1.0,6.0,07.04.2023 pomocnik (90'),Polska"
"Piotr Grudowski,317512515,17.048,P,177,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,3,2.5,4.5,5,5,-1.0,-1.0,-1.0,4.5,5.0,-1.0,07.04.2023 pomocnik (90'),Polska"
"Piotr Panasiewicz,327809214,16.038,,2,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Radoslaw Tarabasz,327353904,15.038,,9,WC 38,,Final,,,,6,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,07.04.2023 bramkarz (1') boczny_obronca (1'),Polska"
"Wiktor Zbieranski,315629965,17.109,,212,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,1.5,3.5,4.5,5.5,6,6.5,-1.0,-1.0,4.5,5.5,-1.0,6.5,07.04.2023 pomocnik (90'),Polska"
"Zygmunt Danik,322690232,16.010,,51,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,2,2,3,3,5,-1.0,2.0,-1.0,3.0,-1.0,-1.0,07.04.2023 boczny_obronca (88'),Polska"
"Antoni Borecki,320411062,16.091,,134,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5.5,2,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,14.04.2023 bramkarz (90'),Polska"
"Jozef Polom,318886413,16.069,,70,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,5,4,4,4.5,-1.0,5.0,5.0,-1.0,-1.0,4.5,14.04.2023 boczny_obronca (90'),Polska"
"Kasjusz Polny,320520826,16.090,T,112,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,2,-1,4.5,4.5,5,5.5,2.0,-1.0,-1.0,4.5,-1.0,-1.0,19.03.2023 pomocnik (90'),Polska"
"Fryderyk Pacan,326172538,16.020,,29,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,2.5,-1,3.5,-1,-1,-1.0,2.5,-1.0,3.5,-1.0,-1.0,14.04.2023 stoper (90'),Polska"
"Zbigniew Winkler,325604683,15.058,P,45,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,2,2.5,3.5,3.5,-1,-1.0,-1.0,2.5,3.5,3.5,-1.0,14.04.2023 skrzydlowy (90'),Polska"
"Otto Stelmachowski,321838042,16.017,H,61,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,3,4,4,5,4,-1.0,-1.0,-1.0,4.0,5.0,4.0,14.04.2023 pomocnik (90'),Polska"
"Jedrzej Golaszewski,320843771,16.049,,10,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5,5.5,-1,-1,-1,-1.0,5.0,5.5,-1.0,-1.0,-1.0,14.04.2023 stoper (90'),Polska"
"Jan Penc,322939376,16.023,,55,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,4,4,-1,4.5,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,07.04.2023 napastnik (90'),Polska"
"Gabriel Wrebiak,325044295,16.086,,35,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3,4.5,4,-1,-1.0,-1.0,3.0,-1.0,4.0,-1.0,07.04.2023 boczny_obronca (90'),Polska"
"Aleksander Danik,320220791,16.050,P,99,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,0.5,-1,3,4.5,4,3.5,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,14.04.2023 pomocnik (90'),Polska"
"Przemyslaw Malczewski,318807002,16.086,,90,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3.5,4,4,4.5,-1.0,3.0,3.5,4.0,4.0,4.5,24.03.2023 napastnik (90'),Polska"
"Patryk Bogacki,323056051,16.057,T,84,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,2,-1,4,5,4,4,2.0,-1.0,4.0,-1.0,4.0,4.0,05.04.2023 pomocnik (3'),Polska"
"Piotr Wardecki,325604486,15.101,,22,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,3,3,-1,4,-1.0,-1.0,-1.0,3.0,-1.0,4.0,14.04.2023 pomocnik (90'),Polska"
