Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
"Stefan Nadworski,318502329,17.053,,245,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,5,-1,2,-1,1,-1,5.0,-1.0,2.0,-1.0,1.0,-1.0,30.06.2023 boczny_obronca (90'),Polska,05.07.2023"
"Tomasz Mikuskiewicz,302489705,20.102,,491,WC 36,,Final,,,,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,02.12.2022 stoper (90'),Polska,05.07.2023"
"Wlodzimierz Wachala,314740317,18.109,,260,WC 36,22,World Cup - Round I  Matchday 7,07/06/2024,88,2,-1,5,6,-1,6.5,-1,-1.0,5.0,6.0,-1.0,6.5,-1.0,30.06.2023 boczny_obronca (90'),Polska,05.07.2023"
"Amadeusz Kulbacki,324510547,16.098,,127,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,2.5,5,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,28.06.2023 napastnik (90'),Polska,05.07.2023"
"Bohdan Mrzyglod,314961562,18.024,,234,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,5,2.5,2.5,-1,1.5,1,5.0,2.5,2.5,-1.0,1.5,-1.0,02.07.2023 bramkarz (90'),Polska,05.07.2023"
"Dariusz Wietrzycki,324233866,18.002,P,136,WC 37,1,Friendly,20/09/2024,89,1,-1,5,5.5,4,6,4.5,-1.0,-1.0,5.5,4.0,6.0,4.5,02.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Kazimierz Jasiulek,327230325,16.079,,100,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,2.5,-1,6.5,-1,5.5,-1,-1.0,-1.0,5.0,-1.0,5.0,-1.0,02.07.2023 boczny_obronca (85'),Polska,05.07.2023"
"Maciej Matulka,314551557,18.027,Q,220,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,5.5,5.5,3,-1,-1,-1.0,5.5,5.5,-1.0,-1.0,-1.0,02.07.2023 stoper (90'),Polska,05.07.2023"
"Piotr Firek,318907043,17.054,U,184,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,1.5,-1,4,4,3.5,6,1.5,-1.0,4.0,-1.0,3.5,5.0,02.07.2023 napastnik (90'),Polska,05.07.2023"
"Remigiusz Ostrowski,313281175,18.006,,282,WC 37,,Final,,,,1.5,3,3.5,5.5,5.5,-1,1.5,3.0,-1.0,5.5,5.5,-1.0,02.07.2023 pomocnik (90'),Polska,05.07.2023"
"Stanislaw Ciezarek,315496377,18.061,Q,192,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,1.5,-1,2.5,3.5,6.5,-1.0,1.5,-1.0,2.5,2.5,6.0,02.07.2023 napastnik (90'),Polska,05.07.2023"
"Tomasz Waniek,317862433,17.072,T,157,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,4.5,5.5,3.5,4,-1,-1.0,4.5,4.5,3.5,4.0,-1.0,02.07.2023 stoper (90'),Polska,05.07.2023"
"Walter Wawrzyniec,319855323,17.095,,171,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,4.5,4,5,4,4.5,-1.0,4.5,4.0,5.0,4.0,4.5,02.07.2023 stoper (90'),Polska,05.07.2023"
"Witold Bronowicki,324107619,17.016,,108,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,4.5,6,6.5,8,-1.0,-1.0,4.5,-1.0,6.0,8.0,02.07.2023 napastnik (90'),Polska,05.07.2023"
"Zygfryd Grzanka,322450216,16.087,Q,150,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1.5,-1,4,3.5,4.5,5,-1.0,-1.0,4.0,3.0,4.5,5.0,28.06.2023 pomocnik (90'),Polska,05.07.2023"
"Andrzej Stempin,327741255,16.084,P,94,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1,3,4,-1,4,-1,1.0,3.0,4.0,-1.0,4.0,-1.0,29.06.2023 skrzydlowy (90'),Polska,05.07.2023"
"Arkadiusz Klups,327741263,16.095,,94,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,3,2.5,-1,4,-1.0,-1.0,3.0,2.5,-1.0,4.0,29.06.2023 pomocnik (90'),Polska,05.07.2023"
"Boleslaw Wierzchowski,327741254,17.002,T,94,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,0.5,2,-1,2,-1,-1,0.5,2.0,-1.0,2.0,-1.0,-1.0,29.06.2023 pomocnik (90'),Polska,05.07.2023"
"Dobrogniew Kosecki,327741258,16.014,Q,94,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,-1,-1,3.5,2.5,3.5,2.5,-1.0,-1.0,3.5,2.5,3.5,2.5,29.06.2023 napastnik (90'),Polska,05.07.2023"
"Grodzislaw Kuznowicz,327741253,17.017,,94,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,0.5,1.5,2.5,2.5,-1,-1,0.5,1.5,2.5,2.5,-1.0,-1.0,01.06.2023 bramkarz (90'),Polska,05.07.2023"
"Henryk Siwinski,327741257,16.066,,94,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,1,-1,3,2.5,-1,-1,1.0,-1.0,3.0,2.5,-1.0,-1.0,29.06.2023 bramkarz (90'),Polska,05.07.2023"
"Patryk Kozdroj,327741256,15.105,,94,WC 38,2,Friendly,09/05/2025,91,2,-1,2,-1,2.5,3.5,4,-1.0,2.0,-1.0,2.5,3.5,4.0,29.06.2023 stoper (90'),Polska,05.07.2023"
"Zenon Kremski,327741261,16.099,T,94,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,3,3,3,3,-1.0,-1.0,3.0,3.0,3.0,3.0,29.06.2023 boczny_obronca (90'),Polska,05.07.2023"
"Zygmunt Lutkiewicz,327741250,17.000,,94,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,2.5,3.5,-1,-1,4.5,-1.0,2.5,3.5,-1.0,-1.0,4.5,29.06.2023 napastnik (90'),Polska,05.07.2023"
"Antoni Kapelanski,272861804,25.011,P,1038,WC 36,,Final,,,,-1,-1,-1,3,3,5.5,-1.0,-1.0,-1.0,3.0,3.0,5.0,03.08.2021 pomocnik (90'),Polska,05.07.2023"
"Artur Pudlewski,276295578,24.093,,913,WC 36,,Final,,,,-1,-1,-1,-1,4.5,5.5,-1.0,-1.0,-1.0,-1.0,4.5,5.5,03.08.2021 skrzydlowy (90'),Polska,05.07.2023"
"Bozydar Dzbik,272861802,24.103,,1038,WC 36,,Final,,,,-1,-1,-1,3,3,2.5,-1.0,-1.0,-1.0,3.0,3.0,-1.0,03.08.2021 skrzydlowy (90'),Polska,05.07.2023"
"Czeslaw Bragadynski,271630143,25.034,,1018,WC 36,,Final,,,,2,-1,-1,-1,-1,-1,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.07.2021 bramkarz (90'),Polska,05.07.2023"
"Edward Dolniak,272861801,24.069,U,1038,WC 36,,Final,,,,-1,-1,1.5,2,2,2.5,-1.0,-1.0,1.5,2.0,2.0,-1.0,03.08.2021 boczny_obronca (90'),Polska,05.07.2023"
"Edward Stefanski,272861805,25.021,,1038,WC 36,,Final,,,,-1,-1,-1,3,3,2,-1.0,-1.0,-1.0,3.0,3.0,2.0,03.08.2021 pomocnik (90'),Polska,05.07.2023"
"Ferdynand Lagodzinski,272861792,25.046,,1038,WC 36,,Final,,,,-1,2,2.5,-1,-1,-1,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,13.07.2021 stoper (90'),Polska,05.07.2023"
"Jozef Reczkowski,272861795,24.098,P,1038,WC 36,,Final,,,,1.5,3.5,4,4,4.5,-1,1.5,3.0,4.0,-1.0,-1.0,-1.0,03.08.2021 bramkarz (90'),Polska,05.07.2023"
"Lech Runo,272486015,25.036,,1032,WC 36,,Final,,,,1.5,-1,3,-1,-1,-1,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,20.07.2021 boczny_obronca (90'),Polska,05.07.2023"
"Michal Koza,272861799,25.027,,1038,WC 36,,Final,,,,-1,3,3,3,3,3,-1.0,3.0,3.0,3.0,3.0,-1.0,03.08.2021 stoper (90'),Polska,05.07.2023"
"Radomir Glowski,272861798,25.025,H,1038,WC 36,,Final,,,,-1,3,3,4,3.5,2,-1.0,3.0,3.0,-1.0,3.5,-1.0,03.08.2021 stoper (90'),Polska,05.07.2023"
"Sobieslaw Pyrzynski,272861796,24.035,P,1038,WC 36,,Final,,,,-1,2,2,2.5,2,-1,-1.0,2.0,2.0,-1.0,-1.0,-1.0,03.08.2021 boczny_obronca (90'),Polska,05.07.2023"
"Stanislaw Gottfried,272861797,25.104,,1038,WC 36,,Final,,,,-1,-1,-1,2,3,-1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,18.05.2021 pomocnik (90'),Polska,05.07.2023"
"Stanislaw Kacpura,272861793,26.016,Q,1038,WC 36,,Final,,,,-1,2.5,2.5,-1,-1,-1,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,20.04.2021 boczny_obronca (90'),Polska,05.07.2023"
"Zdzislaw Glapa,272861794,26.025,,1038,WC 36,,Final,,,,-1,1,1.5,-1,2.5,-1,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,13.04.2021 skrzydlowy (90'),Polska,05.07.2023"
"Zdzislaw Wruk,272861800,26.017,,1038,WC 36,,Final,,,,-1,-1,-1,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,20.04.2021 napastnik (90'),Polska,05.07.2023"
"Zdzislaw Zawol,272861791,25.101,P,1038,WC 36,,Final,,,,1,3.5,4,-1,-1,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,18.05.2021 stoper (90'),Polska,05.07.2023"
"Emiliusz Neumann,322303080,17.008,,150,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,4.5,2.5,4.5,-1,-1.0,3.5,4.5,2.5,4.5,-1.0,02.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Ferdynand Kempiak,322026336,17.005,P,191,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,1,2.5,3,3.5,4.5,4.5,1.0,2.5,3.0,3.5,4.5,4.5,02.07.2023 bramkarz (90'),Polska,05.07.2023"
"Igor Kanclerz,322882894,16.111,,178,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,2,2.5,-1,3.5,5,-1.0,2.0,2.5,-1.0,3.5,5.0,11.06.2023 stoper (90'),Polska,05.07.2023"
"Jacek Gulbinowicz,322176090,16.093,,184,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,5,5,5.5,5.5,-1,-1.0,5.0,5.0,5.5,-1.0,-1.0,02.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Jan Chlebek,326996981,16.109,,87,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,1,-1,3,-1,-1,6,1.0,-1.0,3.0,-1.0,-1.0,6.0,18.06.2023 napastnik (90'),Polska,05.07.2023"
"Jozef Olszanski,324874047,16.039,,94,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,1.5,3,-1,-1,3.5,-1,1.5,3.0,-1.0,-1.0,3.5,-1.0,11.06.2023 skrzydlowy (90'),Polska,05.07.2023"
"Jozef Wojtyra,324092380,17.077,,157,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,4,-1,4.5,-1,-1.0,-1.0,4.0,-1.0,4.5,-1.0,17.04.2023 boczny_obronca (90'),Polska,05.07.2023"
"Leon Tondel,325734726,16.085,,122,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,2,3.5,-1,-1,4,2.5,2.0,3.5,-1.0,-1.0,4.0,2.5,01.06.2023 bramkarz (90'),Polska,05.07.2023"
"Maciej Lidzbarski,325326216,16.078,H,129,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,5,5,5.5,5.5,-1,-1.0,5.0,5.0,5.5,5.5,-1.0,02.07.2023 pomocnik (90'),Polska,05.07.2023"
"Tadeusz Poltorak,477694924,17.003,P,-1,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,2,5,5,6,5.5,-1,2.0,5.0,5.0,6.0,5.5,-1.0,-----,Polska,05.07.2023"
"Zdzislaw Litwiniec,324099042,17.057,,108,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,4.5,3.5,5.5,-1,-1.0,-1.0,4.5,3.5,5.5,-1.0,11.05.2023 boczny_obronca (90'),Polska,05.07.2023"
"Adam Kups,295548727,20.094,U,616,WC 36,,Final,,,,1,-1,-1,3,3,6.5,-1.0,-1.0,-1.0,2.5,3.0,-1.0,24.08.2022 skrzydlowy (90'),Polska,05.07.2023"
"Adrian Rzucidlo,293341228,21.109,,681,WC 36,,Final,,,,0.5,2,2,3.5,3,3,-1.0,2.0,2.0,-1.0,3.0,-1.0,03.08.2022 stoper (90'),Polska,05.07.2023"
"Aleksander Rozploch,293953090,21.041,,567,WC 36,,Final,,,,-1,-1,5,4,4.5,4.5,-1.0,-1.0,5.0,3.5,4.5,-1.0,24.08.2022 boczny_obronca (90'),Polska,05.07.2023"
"Andrzej Smyka,313281261,19.105,,336,WC 36,2,Friendly,16/02/2024,87,2,-1,-1,-1,-1,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,08.03.2023 stoper (0'),Polska,05.07.2023"
"Bartosz Nycek,299723729,20.033,,423,WC 36,,Final,,,,-1,-1,-1,4.5,5,4,-1.0,-1.0,-1.0,4.5,4.5,-1.0,24.08.2022 pomocnik (90'),Polska,05.07.2023"
"Cezary Prosniak,293341225,21.089,,681,WC 36,,Final,,,,-1,2.5,3,4,3,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,24.08.2022 stoper (90'),Polska,05.07.2023"
"Czeslaw Ploski,293341229,22.049,,681,WC 36,,Final,,,,-1,2,-1,3,-1,4,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,08.06.2022 pomocnik (90'),Polska,05.07.2023"
"Edmund Ornat,311589490,18.060,,275,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Edward Filas,293341221,21.011,,681,WC 36,,Final,,,,-1,2,2.5,3.5,-1,-1,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,24.08.2022 boczny_obronca (90'),Polska,05.07.2023"
"Grzegorz Wewior,306144615,19.040,H,462,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,-1,-1,-1,-1,3.5,5,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,08.03.2023 bramkarz (0'),Polska,05.07.2023"
"Krzysztof Petelicki,304158153,20.007,,455,WC 36,,Final,,,,-1,-1,-1,5,5,6.5,-1.0,-1.0,-1.0,5.0,4.5,6.5,24.08.2022 pomocnik (90'),Polska,05.07.2023"
"Krzysztof Ryba,293341223,22.061,,681,WC 36,,Final,,,,-1,3,3,4,4,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,01.06.2022 stoper (90'),Polska,05.07.2023"
"Norbert Badaczewski,293341226,22.006,H,681,WC 36,,Final,,,,-1,2.5,3,3.5,4,-1,-1.0,2.5,3.0,-1.0,-1.0,-1.0,27.07.2022 stoper (90'),Polska,05.07.2023"
"Robert Pukacki,293341219,21.052,P,681,WC 36,,Final,,,,0.5,-1,2,-1,-1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,24.08.2022 bramkarz (90'),Polska,05.07.2023"
"Zygmunt Chorosz,293341230,21.090,,681,WC 36,,Final,,,,-1,2.5,3,1.5,3,2,-1.0,2.5,3.0,-1.0,3.0,-1.0,24.08.2022 stoper (90'),Polska,05.07.2023"
"Ambrozy Poninski,319293029,17.042,P,231,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,3,4.5,3,4,4.5,-1.0,3.0,-1.0,3.0,-1.0,-1.0,24.05.2023 boczny_obronca (15'),Polska,05.07.2023"
"Beniamin Zakrzewski,318164235,17.055,,258,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,1.5,2.5,2,3,4,-1.0,1.5,-1.0,2.0,3.0,4.0,04.07.2023 napastnik (90'),Polska,05.07.2023"
"Eryk Delura,318164232,17.061,P,258,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,2.5,2.5,4,-1,2,-1.0,-1.0,2.5,4.0,-1.0,2.0,04.07.2023 pomocnik (90'),Polska,05.07.2023"
"Jakub Dziewonski,326689947,16.024,,87,WC 37,38,World Cup - Round V  Matchday 1,11/04/2025,90,14,5,2,2,-1,-1,-1,5.0,2.0,2.0,-1.0,-1.0,-1.0,04.07.2023 bramkarz (90'),Polska,05.07.2023"
"Janusz Maszczynski,326557744,16.105,Q,107,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,5.5,6.5,3.5,5.5,6.5,-1.0,5.5,6.5,-1.0,5.5,6.5,04.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Kastor Bylicki,328362395,16.012,,80,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,-1,6,6.5,-1,-1,5,-1.0,6.0,6.5,-1.0,-1.0,5.0,04.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Kuba Bernacki,326996978,16.052,H,94,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,4.5,4,3.5,4.5,4,-1.0,4.5,4.0,3.5,4.5,4.0,04.07.2023 stoper (90'),Polska,05.07.2023"
"Marcin Bandyk,477504212,17.010,,-1,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,2.5,3.5,3.5,-1,6.5,-1.0,-1.0,3.0,3.5,-1.0,6.5,-----,Polska,05.07.2023"
"Mariusz Duzynski,318164242,17.037,H,258,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,0,1.5,2,3,3.5,4,-1.0,1.5,2.0,3.0,-1.0,-1.0,13.06.2023 stoper (50'),Polska,05.07.2023"
"Mieczyslaw Standowicz,319634780,17.040,H,206,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,2,3,3,4.5,4,2.5,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,04.07.2023 pomocnik (90'),Polska,05.07.2023"
"Piotr Ciepielowski,320849002,17.044,,150,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,-1,4,6.5,5.5,5,-1.0,-1.0,4.0,5.0,-1.0,5.0,23.06.2023 skrzydlowy (64'),Polska,05.07.2023"
"Robert Kacowski,323035775,16.067,P,171,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,5,2,-1,0.5,-1,0.5,5.0,2.0,-1.0,-1.0,-1.0,-1.0,03.05.2023 stoper (90'),Polska,05.07.2023"
"Wiktor Oleniacz,324904183,16.092,P,141,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,2,4,3,5.5,7,-1.0,-1.0,4.0,-1.0,5.5,7.0,04.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Witold Janczura,321197187,17.065,T,199,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4.5,5.5,4,6,5.5,-1.0,4.5,5.5,4.0,5.5,5.5,04.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Pawel Roztoczynski,321697233,16.106,,192,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,4,4,6,-1,3.5,-1.0,-1.0,4.0,6.0,-1.0,3.5,03.07.2023 pomocnik (90'),Polska,05.07.2023"
"Mikolaj Podziewski,320450292,17.101,H,205,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,5,4.5,3.5,4,6,-1.0,5.0,4.5,3.5,-1.0,-1.0,03.07.2023 stoper (90'),Polska,05.07.2023"
"Adam Chomontowski,319646206,17.038,H,115,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,03.07.2023 pomocnik (90'),Polska,05.07.2023"
"Igor Paprota,316726884,17.099,,220,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,5,-1,-1,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.07.2023 bramkarz (27'),Polska,05.07.2023"
"Jaroslaw Leks,328202141,17.037,,87,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,3,4.5,-1,-1,-1.0,-1.0,3.0,4.5,-1.0,-1.0,22.05.2023 pomocnik (90'),Polska,05.07.2023"
"Lech Chrzastek,323555745,17.038,,164,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,4,-1,-1,4,4,-1.0,4.0,-1.0,-1.0,4.0,4.0,03.07.2023 napastnik (90'),Polska,05.07.2023"
"Pawel Huzarewicz,327353924,16.041,,94,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,2,-1,4,5,-1.0,-1.0,2.0,-1.0,4.0,5.0,03.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Slawomir Krupnik,323690651,16.060,,128,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3,-1,-1,4.5,4,-1.0,-1.0,-1.0,-1.0,4.5,4.0,03.07.2023 napastnik (90'),Polska,05.07.2023"
"Tadeusz Toporny,322870009,17.054,T,79,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,4,-1,4,-1,-1.0,-1.0,4.0,-1.0,4.0,-1.0,03.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Wojciech Wacowski,327253977,16.042,,101,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,2,-1,4.5,4.5,-1,-1.0,2.0,-1.0,4.5,4.5,-1.0,03.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Dominik Faryniarz,321261474,17.002,,169,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,5.5,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,30.06.2023 bramkarz (90'),Polska,05.07.2023"
"Jan Ogorzelec,322053616,18.034,,154,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,4.5,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.04.2023 bramkarz (67'),Polska,05.07.2023"
"Jerzy Kilianski,326339030,17.037,,83,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Leopold Jarczyk,325389698,16.077,U,120,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,5.5,-1,-1,-1,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,30.06.2023 boczny_obronca (90'),Polska,05.07.2023"
"Otto Ciarkowski,324098776,16.108,P,129,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,6.5,5.5,-1,-1,-1,-1.0,6.5,-1.0,-1.0,-1.0,-1.0,30.06.2023 stoper (90'),Polska,05.07.2023"
"Przemyslaw Chinek,325000658,16.059,U,140,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,6,-1,-1,-1,-1,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,30.06.2023 stoper (90'),Polska,05.07.2023"
"Radoslaw Ceglinski,326339013,17.023,,76,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,23.06.2023 pomocnik (90'),Polska,05.07.2023"
