"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Stanislaw Malarczyk,324365130,17.039,,101,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,3,4,3.5,4.5,-1,-1.0,-1.0,4.0,3.5,4.5,-1.0,26.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Teofil Skowron,317773418,17.042,,76,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,6,-1,-1,-1,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,26.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Tomasz Belch,321838270,16.062,Q,160,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,3.5,-1,-1,6,-1.0,-1.0,3.5,-1.0,-1.0,6.0,26.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Cyprian Wyrobek,313693478,18.006,,295,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,1.5,4.5,5.5,4.5,4.5,3.5,-1.0,4.0,4.0,-1.0,4.0,3.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"D. Kaczor,476633411,17.098,S,-1,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,-1,-1,-1,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,-----,Polska,01.06.2023"
"Jaroslaw Kosielski,328212918,15.095,,50,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,11.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Kasjan Knapczyk,322941185,16.064,,100,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,4.5,-1,-1,-1,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"L. Jalkiewicz,476732817,17.055,,-1,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,6,-1,-1,-1,-1,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,-----,Polska,01.06.2023"
"Lukasz Jutrzenka-Trzebiatowski,325000945,16.010,,64,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,6,-1,-1,-1,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Marek Kreczmer,313734214,18.090,H,240,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,-1,-1,7,-1,-1,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Marek Sadlo,321494858,17.020,H,73,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,31.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Pawel Zyrkowski Stepkowski Liskowacki Petre,323755416,17.067,,80,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,5.5,3,-1,-1,-1,-1,4.5,2.5,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (90'),Polska,01.06.2023"
"Rafal Flyashko,321796314,16.105,,154,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,3.5,2,-1,1.5,-1,-1.0,-1.0,2.0,-1.0,1.5,-1.0,31.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Robert Gawenda,311247624,18.100,T,286,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,4,-1,4.5,-1,4.5,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Sulislaw Makarski,318397885,17.099,,143,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Tomasz Kosmalski,323421641,16.047,,108,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,31.05.2023 bramkarz (90'),Polska,01.06.2023"
"Zdzislaw Labuda,324663451,16.015,U,59,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,4,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (90'),Polska,01.06.2023"
"Adam Szafraniec,313855382,17.077,,277,WC 37,1,Friendly,20/09/2024,89,1,-1,4,5,6,-1,3.5,-1.0,-1.0,5.0,-1.0,-1.0,3.5,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Emil Smardz,320031015,17.016,,157,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,1.5,-1,-1,4,-1,-1,1.5,-1.0,-1.0,3.0,-1.0,-1.0,31.05.2023 bramkarz (90'),Polska,01.06.2023"
"Erhard Kandefer,321251648,16.062,,88,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,2.5,4.5,-1,-1.0,-1.0,-1.0,2.5,3.5,-1.0,30.03.2023 skrzydlowy (49'),Polska,01.06.2023"
"Grodzislaw Zorawski,328357586,16.090,,45,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,3.5,5,-1,-1.0,-1.0,-1.0,3.5,5.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Leonard Zaluga,316855476,17.026,,241,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,3.5,-1,-1,-1,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,03.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Maurycy Madala,323277529,16.034,,130,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,3.5,-1,5.5,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,03.05.2023 pomocnik (90'),Polska,01.06.2023"
"Mikolaj Mroczny,322944012,16.062,,95,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,4,3.5,-1,-1.0,-1.0,-1.0,4.0,3.5,-1.0,03.05.2023 pomocnik (90'),Polska,01.06.2023"
"Sobieslaw Glebocki,322882299,16.078,,137,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,4,-1,6,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,17.05.2023 pomocnik (90'),Polska,01.06.2023"
"Ursyn Labuzinski,322690229,16.047,P,143,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,-1,-1,-1,-1,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Waclaw Zaworski,312288978,18.000,,281,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,-1,5.5,-1,5,5,-1.0,-1.0,4.5,-1.0,-1.0,5.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Wiktor Respondek,313190351,17.093,P,291,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,-1,3,3,5,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Wladyslaw Kirkiewicz,326195265,17.027,,74,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Z. Korulski,476712551,17.020,,-1,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,5.5,5,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,-----,Polska,01.06.2023"
"Zdzislaw Trzesniewski,322862824,16.060,,109,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,5,4,3.5,-1.0,-1.0,-1.0,5.0,4.0,3.5,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Czeslaw Wiecek,295400779,20.082,,611,WC 36,,Final,,,,-1,3.5,3,-1,4,6.5,-1.0,-1.0,3.0,-1.0,4.0,-1.0,17.11.2022 skrzydlowy (90'),Polska,01.06.2023"
